
13 Aug 2021 - 10:36:09;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 710 Bytes;Download: 584 Bytes
13 Aug 2021 - 10:36:10;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 43ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 52% used;Upload: 720 Bytes;Download: 595 Bytes
13 Aug 2021 - 10:36:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 656 Bytes;Download: 520 Bytes
13 Aug 2021 - 10:36:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 656 Bytes;Download: 520 Bytes
13 Aug 2021 - 10:36:13;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 32ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 205 Bytes;Download: 78 Bytes
13 Aug 2021 - 10:36:14;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 57ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 646 Bytes;Download: 437 Bytes
13 Aug 2021 - 10:36:15;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 646 Bytes;Download: 437 Bytes
13 Aug 2021 - 10:36:16;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 834 Bytes;Download: 884 Bytes
13 Aug 2021 - 10:36:17;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 33ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 589 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:36:18;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 29ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 52% used;Upload: 589 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:36:19;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 712 Bytes;Download: 514 Bytes
13 Aug 2021 - 10:36:20;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 1.01 KB;Download: 893 Bytes
13 Aug 2021 - 10:36:21;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 590 Bytes;Download: 520 Bytes
13 Aug 2021 - 10:36:22;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 590 Bytes;Download: 520 Bytes
13 Aug 2021 - 10:36:23;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 37ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 590 Bytes;Download: 442 Bytes
13 Aug 2021 - 10:36:24;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 170ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 654 Bytes;Download: 518 Bytes
