22 Jul 2021 - 19:17:13;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 76% used;Upload: 1.62 KB;Download: 5.88 KB
22 Jul 2021 - 19:17:14;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 11% used;RAM: 76% used;Upload: 1.53 KB;Download: 5.83 KB
22 Jul 2021 - 19:17:15;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 76% used;Upload: 4.51 KB;Download: 97.78 KB
22 Jul 2021 - 19:17:16;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 76% used;Upload: 10.47 KB;Download: 723.72 KB
22 Jul 2021 - 19:17:17;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 76% used;Upload: 1.29 KB;Download: 5.52 KB
13 Aug 2021 - 09:28:04;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 58ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 68% used;Upload: ;Download: 
13 Aug 2021 - 09:28:05;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 324ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 68% used;Upload: ;Download: 
13 Aug 2021 - 09:28:05;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 59ms;CPU: Disabled;GPU: Disabled;CPU: 67% used;RAM: 68% used;Upload: ;Download: 
13 Aug 2021 - 09:28:06;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 67% used;RAM: 68% used;Upload: 21.28 KB;Download: 987.89 KB
13 Aug 2021 - 09:28:08;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 62ms;CPU: Disabled;GPU: Disabled;CPU: 67% used;RAM: 68% used;Upload: 19.62 KB;Download: 891.80 KB
13 Aug 2021 - 09:28:09;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 67% used;RAM: 68% used;Upload: 73.70 KB;Download: 2.23 MB
13 Aug 2021 - 09:28:10;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 51ms;CPU: Disabled;GPU: Disabled;CPU: 18% used;RAM: 68% used;Upload: 41.26 KB;Download: 1.96 MB
13 Aug 2021 - 09:28:11;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 55ms;CPU: Disabled;GPU: Disabled;CPU: 22% used;RAM: 68% used;Upload: 52.27 KB;Download: 2.39 MB
13 Aug 2021 - 09:28:12;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 29ms;CPU: Disabled;GPU: Disabled;CPU: 22% used;RAM: 68% used;Upload: 52.27 KB;Download: 2.39 MB
13 Aug 2021 - 09:28:13;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 50ms;CPU: Disabled;GPU: Disabled;CPU: 22% used;RAM: 68% used;Upload: 18.18 KB;Download: 883.21 KB
13 Aug 2021 - 09:28:14;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 21% used;RAM: 68% used;Upload: 587 Bytes;Download: 520 Bytes
